topic,question,option1,option2,option3,option4,correct_answer,difficulty,language
Respiration,What is respiration?,Incorrect option 1,Incorrect option 3,Releasing energy from food,Incorrect option 2,Releasing energy from food,easy,en
Respiration,What is respiration? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Releasing energy from food (हिंदी),Incorrect option 2 (हिंदी),Releasing energy from food (हिंदी),easy,hi
Respiration,What is respiration? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Releasing energy from food (मराठी),Incorrect option 2 (मराठी),Releasing energy from food (मराठी),easy,mr
Mensuration,What is mensuration?,Incorrect option 2,Incorrect option 3,Incorrect option 1,Measurement of shapes,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Measurement of shapes (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Measurement of shapes (मराठी),Measurement of shapes (मराठी),easy,mr
Force,What is force?,Incorrect option 1,Push or pull,Incorrect option 2,Incorrect option 3,Push or pull,easy,en
Force,What is force? (हिंदी),Incorrect option 1 (हिंदी),Push or pull (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Push or pull (हिंदी),easy,hi
Force,What is force? (मराठी),Incorrect option 1 (मराठी),Push or pull (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Push or pull (मराठी),easy,mr
Linear Equations,What is a linear equation?,Incorrect option 3,Equation of degree one,Incorrect option 1,Incorrect option 2,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 3 (हिंदी),Equation of degree one (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 3 (मराठी),Equation of degree one (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Equation of degree one (मराठी),medium,mr
Transportation,What is transportation?,Movement of substances,Incorrect option 2,Incorrect option 3,Incorrect option 1,Movement of substances,easy,en
Transportation,What is transportation? (हिंदी),Movement of substances (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Movement of substances (हिंदी),easy,hi
Transportation,What is transportation? (मराठी),Movement of substances (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Movement of substances (मराठी),easy,mr
Excretion,What is excretion?,Incorrect option 3,Incorrect option 2,Removal of waste,Incorrect option 1,Removal of waste,medium,en
Excretion,What is excretion? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Removal of waste (हिंदी),Incorrect option 1 (हिंदी),Removal of waste (हिंदी),medium,hi
Excretion,What is excretion? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Removal of waste (मराठी),Incorrect option 1 (मराठी),Removal of waste (मराठी),medium,mr
Excretion,What is excretion?,Incorrect option 1,Removal of waste,Incorrect option 3,Incorrect option 2,Removal of waste,easy,en
Excretion,What is excretion? (हिंदी),Incorrect option 1 (हिंदी),Removal of waste (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Removal of waste (हिंदी),easy,hi
Excretion,What is excretion? (मराठी),Incorrect option 1 (मराठी),Removal of waste (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Removal of waste (मराठी),easy,mr
Excretion,What is excretion?,Removal of waste,Incorrect option 1,Incorrect option 3,Incorrect option 2,Removal of waste,medium,en
