"lang","class","subject","question","option1","option2","option3","option4","answer","difficulty","topic"
"en","6","English","What is the plural of child?","Childs","Children","Childes","Childer","Children","easy","General"
"hi","6","English","child का बहुवचन क्या है?","Childs","Children","Childes","Childer","Children","easy","General"
"mr","6","English","child चे अनेकवचन काय आहे?","Childs","Children","Childes","Childer","Children","easy","General"
"en","6","English","Choose the correct article: ___ apple.","A","An","The","None","An","easy","General"
"hi","6","English","सही article चुनें: ___ apple.","A","An","The","None","An","easy","General"
"mr","6","English","योग्य article निवडा: ___ apple.","A","An","The","None","An","easy","General"
"en","6","English","Which word is a noun?","Run","Happiness","Quickly","Blue","Happiness","easy","General"
"hi","6","English","इनमें से संज्ञा कौन-सा शब्द है?","Run","Happiness","Quickly","Blue","Happiness","easy","General"
"mr","6","English","यापैकी नाम कोणता शब्द आहे?","Run","Happiness","Quickly","Blue","Happiness","easy","General"
"en","6","English","Choose the past tense of go.","Gone","Goes","Went","Going","Went","easy","General"
"hi","6","English","go का past tense चुनें।","Gone","Goes","Went","Going","Went","easy","General"
"mr","6","English","go चा past tense निवडा.","Gone","Goes","Went","Going","Went","easy","General"
"en","6","English","Which word is an adjective?","Beautiful","Runs","Slowly","Jump","Beautiful","easy","General"
"hi","6","English","इनमें से विशेषण कौन-सा है?","Beautiful","Runs","Slowly","Jump","Beautiful","easy","General"
"mr","6","English","यापैकी विशेषण कोणते?","Beautiful","Runs","Slowly","Jump","Beautiful","easy","General"
"en","6","English","Choose the opposite of hot.","Warm","Cold","Heat","Boil","Cold","easy","General"
"hi","6","English","hot का विलोम चुनें।","Warm","Cold","Heat","Boil","Cold","easy","General"
"mr","6","English","hot चा विरुद्धार्थी शब्द निवडा.","Warm","Cold","Heat","Boil","Cold","easy","General"
"en","6","English","Which punctuation ends a question?","Comma","Full stop","Question mark","Colon","Question mark","easy","General"
"hi","6","English","प्रश्न के अंत में कौन-सा punctuation लगता है?","Comma","Full stop","Question mark","Colon","Question mark","easy","General"
"mr","6","English","प्रश्नाच्या शेवटी कोणते punctuation वापरतात?","Comma","Full stop","Question mark","Colon","Question mark","easy","General"
"en","6","English","Which word is a pronoun?","Table","He","School","Book","He","easy","General"
"hi","6","English","इनमें से सर्वनाम कौन-सा है?","Table","He","School","Book","He","easy","General"
"mr","6","English","यापैकी सर्वनाम कोणते?","Table","He","School","Book","He","easy","General"
"en","6","English","Choose the synonym of happy.","Sad","Joyful","Angry","Tired","Joyful","medium","General"
"hi","6","English","happy का समानार्थी शब्द चुनें।","Sad","Joyful","Angry","Tired","Joyful","medium","General"
"mr","6","English","happy चा समानार्थी शब्द निवडा.","Sad","Joyful","Angry","Tired","Joyful","medium","General"
"en","6","English","Which word is an adverb?","Slowly","Tree","Kind","Boy","Slowly","medium","General"
"hi","6","English","इनमें से क्रिया विशेषण कौन-सा है?","Slowly","Tree","Kind","Boy","Slowly","medium","General"
"mr","6","English","यापैकी क्रियाविशेषण कोणते?","Slowly","Tree","Kind","Boy","Slowly","medium","General"
"en","6","English","Choose the correct plural of tooth.","Tooths","Teeth","Toothes","Teets","Teeth","easy","General"
"hi","6","English","tooth का सही बहुवचन चुनें।","Tooths","Teeth","Toothes","Teets","Teeth","easy","General"
"mr","6","English","tooth चे योग्य अनेकवचन निवडा.","Tooths","Teeth","Toothes","Teets","Teeth","easy","General"
"en","6","English","Which word is a verb?","Dance","Table","Blue","Happiness","Dance","easy","General"
"hi","6","English","इनमें से क्रिया कौन-सी है?","Dance","Table","Blue","Happiness","Dance","easy","General"
"mr","6","English","यापैकी क्रियापद कोणते?","Dance","Table","Blue","Happiness","Dance","easy","General"
"en","6","English","Choose the correct article: ___ umbrella.","A","An","The","None","An","easy","General"
"hi","6","English","सही article चुनें: ___ umbrella.","A","An","The","None","An","easy","General"
"mr","6","English","योग्य article निवडा: ___ umbrella.","A","An","The","None","An","easy","General"
"en","6","English","What is the opposite of tall?","Big","Long","Short","Wide","Short","easy","General"
"hi","6","English","tall का विलोम क्या है?","Big","Long","Short","Wide","Short","easy","General"
"mr","6","English","tall चा विरुद्धार्थी शब्द कोणता?","Big","Long","Short","Wide","Short","easy","General"
"en","6","English","Choose the synonym of begin.","Start","Stop","Close","End","Start","medium","General"
"hi","6","English","begin का समानार्थी शब्द चुनें।","Start","Stop","Close","End","Start","medium","General"
"mr","6","English","begin चा समानार्थी शब्द निवडा.","Start","Stop","Close","End","Start","medium","General"
"en","6","English","Which punctuation is used after a statement?","Question mark","Exclamation mark","Full stop","Colon","Full stop","easy","General"
"hi","6","English","वाक्य के अंत में कौन-सा punctuation आता है?","Question mark","Exclamation mark","Full stop","Colon","Full stop","easy","General"
"mr","6","English","विधान वाक्याच्या शेवटी कोणते punctuation येते?","Question mark","Exclamation mark","Full stop","Colon","Full stop","easy","General"
"en","6","English","Choose the past tense of eat.","Eating","Eaten","Ate","Eat","Ate","easy","General"
"hi","6","English","eat का past tense चुनें।","Eating","Eaten","Ate","Eat","Ate","easy","General"
"mr","6","English","eat चा past tense निवडा.","Eating","Eaten","Ate","Eat","Ate","easy","General"
"en","6","English","Choose the correct spelling.","Beautifull","Beautiful","Beutiful","Beautifal","Beautiful","medium","General"
"hi","6","English","सही spelling चुनें।","Beautifull","Beautiful","Beutiful","Beautifal","Beautiful","medium","General"
"mr","6","English","योग्य spelling निवडा.","Beautifull","Beautiful","Beutiful","Beautifal","Beautiful","medium","General"
"en","6","English","What is the plural of mouse?","Mouses","Mousees","Mice","Meese","Mice","medium","General"
"hi","6","English","mouse का बहुवचन क्या है?","Mouses","Mousees","Mice","Meese","Mice","medium","General"
"mr","6","English","mouse चे अनेकवचन काय आहे?","Mouses","Mousees","Mice","Meese","Mice","medium","General"
"en","6","English","Choose the correct preposition: The book is ___ the table.","On","In","At","Under","On","easy","General"
"hi","6","English","सही preposition चुनें: किताब मेज ___ है।","On","In","At","Under","On","easy","General"
"mr","6","English","योग्य preposition निवडा: पुस्तक टेबल ___ आहे.","On","In","At","Under","On","easy","General"
"en","6","English","Choose the opposite of day.","Morning","Light","Night","Sun","Night","easy","General"
"hi","6","English","day का विलोम चुनें।","Morning","Light","Night","Sun","Night","easy","General"
"mr","6","English","day चा विरुद्धार्थी शब्द निवडा.","Morning","Light","Night","Sun","Night","easy","General"
"en","6","English","Which sentence is correct?","He go to school.","He goes to school.","He going school.","He gone school.","He goes to school.","hard","General"
"hi","6","English","सही वाक्य चुनें।","He go to school.","He goes to school.","He going school.","He gone school.","He goes to school.","hard","General"
"mr","6","English","योग्य वाक्य निवडा.","He go to school.","He goes to school.","He going school.","He gone school.","He goes to school.","hard","General"
"en","6","English","Choose the plural of foot.","Foots","Feet","Feets","Footes","Feet","easy","General"
"hi","6","English","foot का बहुवचन चुनें।","Foots","Feet","Feets","Footes","Feet","easy","General"
"mr","6","English","foot चे अनेकवचन निवडा.","Foots","Feet","Feets","Footes","Feet","easy","General"
"hi","6","English","इनमें से संज्ञा चुनें।","School","Run","Quickly","Slowly","School","easy","General"
"mr","6","English","यापैकी नाम निवडा.","School","Run","Quickly","Slowly","School","easy","General"
"en","6","English","Choose the correct article: ___ orange.","A","An","The","None","An","easy","General"
"hi","6","English","सही article चुनें: ___ orange.","A","An","The","None","An","easy","General"
